Name	GPValue	Weight	Type
Potion of Resist electricity (10)	300	0	potion
Potion of Resist electricity (20)	700	0	potion
Potion of Resist electricity (30)	1100	0	potion
Potion of Resist fire (10)	300	0	potion
Potion of Resist fire (20)	700	0	potion
Potion of Resist fire (30)	1100	0	potion
Potion of Resist sonic (10)	300	0	potion
Potion of Resist sonic (20)	700	0	potion
Potion of Resist sonic (30)	1100	0	potion
Potion of Sanctuary	50	0	potion
Potion of Shield of faith +2	50	0	potion
Potion of Shield of faith +3	300	0	potion
Potion of Shield of faith +4	600	0	potion
Potion of Shield of faith +5	900	0	potion
Potion of Spider climb	300	0	potion
Potion of Tongues	750	0	potion
Potion of Undetectable alignment	300	0	potion
Potion of Water breathing	750	0	potion
Potion of Water walk	750	0	potion
