Name	GPValue	Weight	Type
Ring of Energy Shroud	19500	0	ring
Ring of Epic Psionics IX	810000	0	ring
Ring of Epic Psionics V	250000	0	ring
Ring of Epic Psionics VI	360000	0	ring
Ring of Epic Psionics VII	490000	0	ring
Ring of Epic Psionics VIII	640000	0	ring
Ring of Epic Wizardry IX	810000	0	ring
Ring of Epic Wizardry V	250000	0	ring
Ring of Epic Wizardry VI	360000	0	ring
Ring of Epic Wizardry VII	490000	0	ring
Ring of Epic Wizardry VIII	640000	0	ring
Ring of Evasion	25000	0	ring
Ring of Feather Falling	2200	0	ring
Ring of Ferocious Action	3000	0	ring
Ring of Foe Focus	10000	0	ring
Ring of Force Shield	8500	0	ring
Ring of Forcefangs	8000	0	ring
Ring of Freedom of Movement	40000	0	ring
Ring of Friend Shield (one)	25000	0	ring
Ring of Friend Shield (pair)	50000	0	ring
Ring of Grit Mastery	6840	0	ring
Ring of Ineffable Evil	250000	0	ring
Ring of Inner Fortitude (Greater)	66000	0	ring
Ring of Inner Fortitude (Major)	42000	0	ring
Ring of Inner Fortitude (Minor)	18000	0	ring
Ring of Invisibility	20000	0	ring
Ring of Ironskin	400000	0	ring
Ring of Jumping	2500	0	ring
Ring of Jumping, improved	10000	0	ring
Ring of Ki Mastery	10000	0	ring
Ring of Maniacal Devices	5000	0	ring
Ring of Meld into Stone	27000	0	ring
Ring of Mind Shielding	8000	0	ring
Ring of Protection +1	2000	0	ring
Ring of Protection +10	2000000	0	ring
Ring of Protection +2	8000	0	ring
Ring of Protection +3	18000	0	ring
Ring of Protection +4	32000	0	ring
Ring of Protection +5	50000	0	ring
Ring of Protection +6	720000	0	ring
Ring of Protection +7	980000	0	ring
Ring of Protection +8	1280000	0	ring
Ring of Protection +9	1620000	0	ring
Ring of Rapid Healing	300000	0	ring
Ring of Rat Fangs	5000	0	ring
Ring of Regeneration	90000	0	ring
Ring of Retribution	15000	0	ring
Ring of Return	33600	0	ring
Ring of Revelation (greater)	16000	0	ring
Ring of Revelation (lesser)	10000	0	ring
Ring of Revelation (superior)	24000	0	ring
Ring of Sacred Mistletoe	6000	0	ring
Ring of Sequestering	300000	0	ring
Ring of Shooting Stars	50000	0	ring
Ring of Spell Knowledge I	1500	0	ring
Ring of Spell Knowledge II	6000	0	ring
Ring of Spell Knowledge III	13500	0	ring
Ring of Spell Knowledge IV	24000	0	ring
Ring of Spell Storing	50000	0	ring
Ring of Spell Storing (Major)	200000	0	ring
Ring of Spell Storing (Minor)	18000	0	ring
Ring of Spell Turning	98280	0	ring
Ring of Strength Sapping	8000	0	ring
Ring of Sustenance	2500	0	ring
Ring of Swarming Stabs	6000	0	ring
Ring of Swimming	2500	0	ring
Ring of Swimming, improved	10000	0	ring
Ring of Tactical Precision	11000	0	ring
Ring of Telekinesis	75000	0	ring
Ring of the Ecclesiarch	28500	0	ring
Ring of the Grasping Grave	2000	0	ring
Ring of the Ram	8600	0	ring
Ring of the Sea Strider	14000	0	ring
Ring of the Sophisticate	11000	0	ring
Ring of the Troglodyte	12000	0	ring
Ring of Three Wishes	97950	0	ring
Ring of Transposition	10800	0	ring
Ring of Universal Energy Immunity	2160000	0	ring
Ring of Universal Energy Resistance (Greater)	308000	0	ring
Ring of Universal Energy Resistance (Minor)	84000	0	ring
Ring of Virtuous Good	250000	0	ring
Ring of Water Walking	15000	0	ring
Ring of Weaponbreaking	600000	0	ring
Ring of Wizardry I	20000	0	ring
Ring of Wizardry II	40000	0	ring
Ring of Wizardry III	70000	0	ring
Ring of Wizardry IV	100000	0	ring
Ring of X-Ray Vision	25000	0	ring
Scholars Ring	8700	0	ring
Spiritualist Rings	70000	0	ring
Steelhand Circle	12000	0	ring
Conduit Rod	12000	5	rod
Earthbind Rod	26500	5	rod
Fiery Nimbus Rod	22305	3	rod
Grounding Rod	12000	10	rod
Immovable Rod	5000	5	rod
Liberators Rod	30000	5	rod
Rod of Absorption	50000	5	rod
Rod of Alertness	85000	4	rod
Rod of Balance	15000	5	rod
Rod of Beguiling	18000	5	rod
Rod of Besiegement	447745	5	rod
Rod of Cancellation	11000	5	rod
Rod of Dwarven Might	80000	10	rod
Rod of Enemy Detection	23500	5	rod
Rod of Epic Absorption	1500000	5	rod
Rod of Epic Cancellation	330000	5	rod
Rod of Epic Might	4293432	20	rod
Rod of Epic Negation	446000	5	rod
Rod of Epic Rulership	575000	5	rod
Rod of Epic Spellcaster	245000	5	rod
Rod of Epic Splendor	297000	5	rod
Rod of Escape	15000	5	rod
Rod of Excellent Magic	650000	5	rod
Rod of Flailing	50000	5	rod
Rod of Flame Extinguishing	15000	5	rod
Rod of Fortification	465665	5	rod
Rod of Ice	8500	3	rod
Rod of Invulnerability	600000	5	rod
Rod of Lordly Might	70000	10	rod
Rod of Metal and Mineral Detection	10500	5	rod
Rod of Metamagic: Bouncing	11000	5	rod
Rod of Metamagic: Burning	32500	5	rod
Rod of Metamagic: Concussive	32500	5	rod
Rod of Metamagic: Dazing	54000	5	rod
Rod of Metamagic: Disruptive	11000	5	rod
Rod of Metamagic: Echoing	32500	5	rod
Rod of Metamagic: Ectoplasmic	11000	5	rod
Rod of Metamagic: Elemental	11000	5	rod
Rod of Metamagic: Empower	32500	5	rod
Rod of Metamagic: Enlarge	11000	5	rod
Rod of Metamagic: Extend	11000	5	rod
Rod of Metamagic: Flaring	11000	5	rod
Rod of Metamagic: Focus	11000	5	rod
Rod of Metamagic: Greater Bouncing	10000	5	rod
Rod of Metamagic: Greater Burning	73000	5	rod
Rod of Metamagic: Greater Concussive	73000	5	rod
Rod of Metamagic: Greater Dazing	121500	5	rod
Rod of Metamagic: Greater Disruptive	24500	5	rod
Rod of Metamagic: Greater Echoing	73000	5	rod
Rod of Metamagic: Greater Ectoplasmic	24500	5	rod
Rod of Metamagic: Greater Elemental	24500	5	rod
Rod of Metamagic: Greater Empower	73000	5	rod
Rod of Metamagic: Greater Enlarge	24500	5	rod
Rod of Metamagic: Greater Extend	24500	5	rod
Rod of Metamagic: Greater Flaring	24500	5	rod
Rod of Metamagic: Greater Focus	24500	5	rod
Rod of Metamagic: Greater Intensify	24500	5	rod
Rod of Metamagic: Greater Lingering	24500	5	rod
Rod of Metamagic: Greater Maximize	121500	5	rod
Rod of Metamagic: Greater Merciful	12250	5	rod
Rod of Metamagic: Greater Persistent	73000	5	rod
Rod of Metamagic: Greater Piercing	24500	5	rod
Rod of Metamagic: Greater Quicken	170000	5	rod
Rod of Metamagic: Greater Reach	24500	5	rod
Rod of Metamagic: Greater Rime	24500	5	rod
Rod of Metamagic: Greater Selective	24500	5	rod
Rod of Metamagic: Greater Sickening	36500	5	rod
Rod of Metamagic: Greater Silent	24500	5	rod
Rod of Metamagic: Greater Thanatopic	73000	5	rod
Rod of Metamagic: Greater Threnodic	73000	5	rod
Rod of Metamagic: Greater Thundering	73000	5	rod
Rod of Metamagic: Greater Toppling	24500	5	rod
Rod of Metamagic: Intensify	11000	5	rod
Rod of Metamagic: Lesser Bouncing	3000	5	rod
Rod of Metamagic: Lesser Burning	9000	5	rod
Rod of Metamagic: Lesser Concussive	9000	5	rod
Rod of Metamagic: Lesser Dazing	14000	5	rod
Rod of Metamagic: Lesser Disruptive	3000	5	rod
Rod of Metamagic: Lesser Echoing	9000	5	rod
Rod of Metamagic: Lesser Ectoplasmic	3000	5	rod
Rod of Metamagic: Lesser Elemental	3000	5	rod
Rod of Metamagic: Lesser Empower	9000	5	rod
Rod of Metamagic: Lesser Enlarge	3000	5	rod
Rod of Metamagic: Lesser Extend	3000	5	rod
Rod of Metamagic: Lesser Flaring	3000	5	rod
Rod of Metamagic: Lesser Focus	3000	5	rod
Rod of Metamagic: Lesser Intensify	3000	5	rod
Rod of Metamagic: Lesser Lingering	3000	5	rod
Rod of Metamagic: Lesser Maximize	14000	5	rod
Rod of Metamagic: Lesser Merciful	1500	5	rod
Rod of Metamagic: Lesser Persistent	9000	5	rod
Rod of Metamagic: Lesser Piercing	3000	5	rod
Rod of Metamagic: Lesser Quicken	35000	5	rod
Rod of Metamagic: Lesser Reach	3000	5	rod
Rod of Metamagic: Lesser Rime	3000	5	rod
Rod of Metamagic: Lesser Selective	3000	5	rod
Rod of Metamagic: Lesser Sickening	9000	5	rod
Rod of Metamagic: Lesser Silent	3000	5	rod
Rod of Metamagic: Lesser Thanatopic	9000	5	rod
Rod of Metamagic: Lesser Threnodic	9000	5	rod
Rod of Metamagic: Lesser Thundering	9000	5	rod
Rod of Metamagic: Lesser Toppling	3000	5	rod
Rod of Metamagic: Lingering	11000	5	rod
Rod of Metamagic: Maximize	54000	5	rod
Rod of Metamagic: Merciful	5500	5	rod
Rod of Metamagic: Persistent	32500	5	rod
Rod of Metamagic: Piercing	11000	5	rod
Rod of Metamagic: Quicken	75500	5	rod
Rod of Metamagic: Reach	11000	5	rod
Rod of Metamagic: Rime	11000	5	rod
Rod of Metamagic: Selective	11000	5	rod
Rod of Metamagic: Sickening	32500	5	rod
Rod of Metamagic: Silent	11000	5	rod
Rod of Metamagic: Thanatopic	32500	5	rod
Rod of Metamagic: Threnodic	32500	5	rod
Rod of Metamagic: Thundering	32500	5	rod
Rod of Metamagic: Toppling	11000	5	rod
Rod of Mind Mastery	67000	5	rod
Rod of Negation	37000	5	rod
Rod of Nettles	18000	5	rod
Rod of Nightmares	284000	5	rod
Rod of Paradise	610000	5	rod
Rod of Python	13000	10	rod
Rod of Restless Death	625000	5	rod
Rod of Ruin	16000	5	rod
Rod of Rulership	60000	5	rod
Rod of Security	61000	5	rod
Rod of Shadows	64305	5	rod
Rod of Splendor	25000	5	rod
Rod of Steadfast Resolve	38305	5	rod
Rod of the Aboleth	29000	5	rod
Rod of The Path	306870	5	rod
Rod of the Python	13000	10	rod
Rod of the Viper	19000	5	rod
Rod of the Wayang	12000	5	rod
Rod of the Wyrm (Black)	1562600	5	rod
Rod of the Wyrm (Blue)	1782200	5	rod
Rod of the Wyrm (Brass)	1458200	5	rod
Rod of the Wyrm (Bronze)	1670600	5	rod
Rod of the Wyrm (Copper)	1562600	5	rod
Rod of the Wyrm (Gold)	1897400	5	rod
Rod of the Wyrm (Green)	1670600	5	rod
Rod of the Wyrm (Red)	1897400	5	rod
Rod of the Wyrm (Silver)	1782200	5	rod
Rod of the Wyrm (White)	1458200	5	rod
Rod of Thunder	33000	5	rod
Rod of Thunderous Force	5400	5	rod
Rod of Viper	19000	5	rod
Rod of Withering	25000	5	rod
Rod of Wonder	12000	5	rod
Rod, Immovable	5000	5	rod
Sapling Rod	16650	5	rod
Scepter of Heaven	74000	3	rod
Suzerain Scepter	20000	5	rod
Trap-Stealers Rod	13500	5	rod
Arcane scroll of acid splash	12.5	0	scroll
Arcane scroll of arcane mark	12.5	0	scroll
Arcane scroll of dancing lights	12.5	0	scroll
Arcane scroll of daze	12.5	0	scroll
Arcane scroll of detect magic	12.5	0	scroll
Arcane scroll of detect poison	12.5	0	scroll
Arcane scroll of disrupt undead	12.5	0	scroll
Arcane scroll of flare	12.5	0	scroll
Arcane scroll of ghost sound	12.5	0	scroll
Arcane scroll of know direction	12.5	0	scroll
Arcane scroll of light	12.5	0	scroll
Arcane scroll of lullaby	12.5	0	scroll
Arcane scroll of mage hand	12.5	0	scroll
Arcane scroll of mending	12.5	0	scroll
Arcane scroll of message	12.5	0	scroll
Arcane scroll of open/close	12.5	0	scroll
Arcane scroll of prestidigitation	12.5	0	scroll
Arcane scroll of ray of frost	12.5	0	scroll
Arcane scroll of read magic	12.5	0	scroll
Arcane scroll of resistance	12.5	0	scroll
Arcane scroll of summon instrument	12.5	0	scroll
Arcane scroll of touch of fatigue	12.5	0	scroll
Arcane scroll of alarm	25	0	scroll
Arcane scroll of animate rope	25	0	scroll
Arcane scroll of burning hands	25	0	scroll
Arcane scroll of cause fear	25	0	scroll
Arcane scroll of charm person	25	0	scroll
Arcane scroll of chill touch	25	0	scroll
Arcane scroll of color spray	25	0	scroll
Arcane scroll of comprehend languages	25	0	scroll
Arcane scroll of confusion, lesser	25	0	scroll
Arcane scroll of cure light wounds	25	0	scroll
Arcane scroll of detect secret doors	25	0	scroll
Arcane scroll of detect undead	25	0	scroll
Arcane scroll of disguise self	25	0	scroll
Arcane scroll of endure elements	25	0	scroll
Arcane scroll of enlarge person	25	0	scroll
Arcane scroll of erase	25	0	scroll
Arcane scroll of expeditious retreat	25	0	scroll
Arcane scroll of feather fall	25	0	scroll
Arcane scroll of grease	25	0	scroll
Arcane scroll of hold portal	25	0	scroll
Arcane scroll of hypnotism	25	0	scroll
Arcane scroll of identify	125	0	scroll
Arcane scroll of jump	25	0	scroll
Arcane scroll of mage armor	25	0	scroll
Arcane scroll of magic missile	25	0	scroll
Arcane scroll of magic weapon	25	0	scroll
Arcane scroll of mount	25	0	scroll
Arcane scroll of magic aura	25	0	scroll
Arcane scroll of obscuring mist	25	0	scroll
Arcane scroll of protection from chaos	25	0	scroll
Arcane scroll of protection from evil	25	0	scroll
Arcane scroll of protection from good	25	0	scroll
Arcane scroll of protection from law 	25	0	scroll
Arcane scroll of ray of enfeeblement	25	0	scroll
Arcane scroll of reduce person	25	0	scroll
Arcane scroll of remove fear	50	0	scroll
Arcane scroll of shield	25	0	scroll
Arcane scroll of shocking grasp	25	0	scroll
Arcane scroll of silent image	25	0	scroll
Arcane scroll of sleep	25	0	scroll
Arcane scroll of summon monster I	25	0	scroll
Arcane scroll of floating disk	25	0	scroll
Arcane scroll of true strike	25	0	scroll
Arcane scroll of undetectable alignment	50	0	scroll
Arcane scroll of unseen servant	25	0	scroll
Arcane scroll of ventriloquism	25	0	scroll
Arcane scroll of animal messenger	200	0	scroll
Arcane scroll of animal trance	200	0	scroll
Arcane scroll of arcane lock	175	0	scroll
Arcane scroll of bear’s endurance	150	0	scroll
Arcane scroll of blindness/deafness	150	0	scroll
Arcane scroll of blur	150	0	scroll
Arcane scroll of bull’s strength	150	0	scroll
Arcane scroll of calm emotions	200	0	scroll
Arcane scroll of cat’s grace	150	0	scroll
Arcane scroll of command undead	150	0	scroll
Arcane scroll of continual flame	200	0	scroll
Arcane scroll of cure moderate wounds	200	0	scroll
Arcane scroll of darkness	150	0	scroll
Arcane scroll of darkvision	150	0	scroll
Arcane scroll of daze monster	150	0	scroll
Arcane scroll of delay poison	200	0	scroll
Arcane scroll of detect thoughts	150	0	scroll
Arcane scroll of eagle’s splendor	150	0	scroll
Arcane scroll of enthrall	200	0	scroll
Arcane scroll of false life	150	0	scroll
Arcane scroll of flaming sphere	150	0	scroll
Arcane scroll of fog cloud	150	0	scroll
Arcane scroll of fox’s cunning	150	0	scroll
Arcane scroll of ghoul touch	150	0	scroll
Arcane scroll of glitterdust	150	0	scroll
Arcane scroll of gust of wind	150	0	scroll
Arcane scroll of hypnotic pattern	150	0	scroll
Arcane scroll of invisibility	150	0	scroll
Arcane scroll of knock	150	0	scroll
Arcane scroll of phantom trap	200	0	scroll
Arcane scroll of levitate	150	0	scroll
Arcane scroll of locate object	150	0	scroll
Arcane scroll of magic mouth	160	0	scroll
Arcane scroll of acid arrow	150	0	scroll
Arcane scroll of minor image	150	0	scroll
Arcane scroll of mirror image	150	0	scroll
Arcane scroll of misdirection	150	0	scroll
Arcane scroll of obscure object	150	0	scroll
Arcane scroll of owl’s wisdom	150	0	scroll
Arcane scroll of protection from arrows	150	0	scroll
Arcane scroll of pyrotechnics	150	0	scroll
Arcane scroll of resist energy	150	0	scroll
Arcane scroll of rope trick	150	0	scroll
Arcane scroll of scare	150	0	scroll
Arcane scroll of scorching ray	150	0	scroll
Arcane scroll of see invisibility	150	0	scroll
Arcane scroll of shatter	150	0	scroll
Arcane scroll of silence	200	0	scroll
Arcane scroll of sound burst	200	0	scroll
Arcane scroll of spectral hand	150	0	scroll
Arcane scroll of spider climb	150	0	scroll
Arcane scroll of summon monster II	150	0	scroll
Arcane scroll of summon swarm	150	0	scroll
Arcane scroll of hideous laughter	150	0	scroll
Arcane scroll of touch of idiocy	150	0	scroll
Arcane scroll of web	150	0	scroll
Arcane scroll of whispering wind	150	0	scroll
Arcane scroll of arcane sight	375	0	scroll
Arcane scroll of blink	375	0	scroll
Arcane scroll of clairaudience/clairvoyance	375	0	scroll
Arcane scroll of cure serious wounds	525	0	scroll
Arcane scroll of daylight	375	0	scroll
Arcane scroll of deep slumber	375	0	scroll
Arcane scroll of dispel magic	375	0	scroll
Arcane scroll of displacement	375	0	scroll
Arcane scroll of explosive runes	375	0	scroll
Arcane scroll of fireball	375	0	scroll
Arcane scroll of flame arrow	375	0	scroll
Arcane scroll of fly	375	0	scroll
Arcane scroll of gaseous form	375	0	scroll
Arcane scroll of gentle repose	375	0	scroll
Arcane scroll of glibness	525	0	scroll
Arcane scroll of good hope	525	0	scroll
Arcane scroll of halt undead	375	0	scroll
Arcane scroll of haste	375	0	scroll
Arcane scroll of heroism	375	0	scroll
Arcane scroll of hold person	375	0	scroll
Arcane scroll of illusory script	425	0	scroll
Arcane scroll of invisibility sphere	375	0	scroll
Arcane scroll of keen edge	375	0	scroll
Arcane scroll of tiny hut	375	0	scroll
Arcane scroll of lightning bolt	375	0	scroll
Arcane scroll of magic circle against chaos	375	0	scroll
Arcane scroll of magic circle against evil	375	0	scroll
Arcane scroll of magic circle against good	375	0	scroll
Arcane scroll of magic circle against law	375	0	scroll
Arcane scroll of magic weapon, greater	375	0	scroll
Arcane scroll of major image	375	0	scroll
Arcane scroll of nondetection	425	0	scroll
Arcane scroll of phantom steed	375	0	scroll
Arcane scroll of protection from energy	375	0	scroll
Arcane scroll of rage	375	0	scroll
Arcane scroll of ray of exhaustion	375	0	scroll
Arcane scroll of sculpt sound	525	0	scroll
Arcane scroll of secret page	375	0	scroll
Arcane scroll of sepia snake sigil	875	0	scroll
Arcane scroll of shrink item	375	0	scroll
Arcane scroll of sleet storm	375	0	scroll
Arcane scroll of slow	375	0	scroll
Arcane scroll of speak with animals	525	0	scroll
Arcane scroll of stinking cloud	375	0	scroll
Arcane scroll of suggestion	375	0	scroll
Arcane scroll of summon monster III	375	0	scroll
Arcane scroll of tongues	375	0	scroll
Arcane scroll of vampiric touch	375	0	scroll
Arcane scroll of water breathing	375	0	scroll
Arcane scroll of wind wall	375	0	scroll
Arcane scroll of animate dead	1050	0	scroll
Arcane scroll of arcane eye	700	0	scroll
Arcane scroll of bestow curse	700	0	scroll
Arcane scroll of charm monster	700	0	scroll
Arcane scroll of confusion	700	0	scroll
Arcane scroll of contagion	700	0	scroll
Arcane scroll of crushing despair	700	0	scroll
Arcane scroll of cure critical wounds	1000	0	scroll
Arcane scroll of detect scrying	700	0	scroll
Arcane scroll of dimension door	700	0	scroll
Arcane scroll of dimensional anchor	700	0	scroll
Arcane scroll of enervation	700	0	scroll
Arcane scroll of enlarge person, mass	700	0	scroll
Arcane scroll of black tentacles	700	0	scroll
Arcane scroll of fear	700	0	scroll
Arcane scroll of fire shield	700	0	scroll
Arcane scroll of fire trap	725	0	scroll
Arcane scroll of freedom of movement	1000	0	scroll
Arcane scroll of geas, lesser	700	0	scroll
Arcane scroll of globe of invulnerability, lesser	700	0	scroll
Arcane scroll of hallucinatory terrain	700	0	scroll
Arcane scroll of ice storm	700	0	scroll
Arcane scroll of illusory wall	700	0	scroll
Arcane scroll of invisibility, greater	700	0	scroll
Arcane scroll of secure shelter	700	0	scroll
Arcane scroll of locate creature	700	0	scroll
Arcane scroll of minor creation	700	0	scroll
Arcane scroll of modify memory	1000	0	scroll
Arcane scroll of neutralize poison	1000	0	scroll
Arcane scroll of resilient sphere	700	0	scroll
Arcane scroll of phantasmal killer	700	0	scroll
Arcane scroll of polymorph	700	0	scroll
Arcane scroll of rainbow pattern	700	0	scroll
Arcane scroll of mnemonic enhancer	700	0	scroll
Arcane scroll of reduce person, mass	700	0	scroll
Arcane scroll of remove curse	700	0	scroll
Arcane scroll of repel vermin	1000	0	scroll
Arcane scroll of scrying	700	0	scroll
Arcane scroll of shadow conjuration	700	0	scroll
Arcane scroll of shout	700	0	scroll
Arcane scroll of solid fog	700	0	scroll
Arcane scroll of speak with plants	1000	0	scroll
Arcane scroll of stone shape	700	0	scroll
Arcane scroll of stoneskin	950	0	scroll
Arcane scroll of summon monster IV	700	0	scroll
Arcane scroll of wall of fire	700	0	scroll
Arcane scroll of wall of ice	700	0	scroll
Arcane scroll of zone of silence	1000	0	scroll
Arcane scroll of animal growth	1125	0	scroll
Arcane scroll of baleful polymorph	1125	0	scroll
Arcane scroll of interposing hand	1125	0	scroll
Arcane scroll of blight	1125	0	scroll
Arcane scroll of break enchantment	1125	0	scroll
Arcane scroll of cloudkill	1125	0	scroll
Arcane scroll of cone of cold	1125	0	scroll
Arcane scroll of contact other plane	1125	0	scroll
Arcane scroll of cure light wounds, mass	1625	0	scroll
Arcane scroll of dismissal	1125	0	scroll
Arcane scroll of dispel magic, greater	1625	0	scroll
Arcane scroll of dominate person	1125	0	scroll
Arcane scroll of dream	1125	0	scroll
Arcane scroll of fabricate	1125	0	scroll
Arcane scroll of false vision	1375	0	scroll
Arcane scroll of feeblemind	1125	0	scroll
Arcane scroll of hold monster	1125	0	scroll
Arcane scroll of secret chest	1125	0	scroll
Arcane scroll of magic jar	1125	0	scroll
Arcane scroll of major creation	1125	0	scroll
Arcane scroll of mind fog	1125	0	scroll
Arcane scroll of mirage arcana	1125	0	scroll
Arcane scroll of mage’s faithful hound	1125	0	scroll
Arcane scroll of mage’s private sanctum	1125	0	scroll
Arcane scroll of nightmare	1125	0	scroll
Arcane scroll of overland flight	1125	0	scroll
Arcane scroll of passwall	1125	0	scroll
Arcane scroll of permanency	10125	0	scroll
Arcane scroll of persistent image	1125	0	scroll
Arcane scroll of planar binding, lesser	1125	0	scroll
Arcane scroll of prying eyes	1125	0	scroll
Arcane scroll of telepathic bond	1125	0	scroll
Arcane scroll of seeming	1125	0	scroll
Arcane scroll of sending	1125	0	scroll
Arcane scroll of shadow evocation	1125	0	scroll
Arcane scroll of song of discord	1625	0	scroll
Arcane scroll of summon monster V	1125	0	scroll
Arcane scroll of symbol of pain	2125	0	scroll
Arcane scroll of symbol of sleep	2125	0	scroll
Arcane scroll of telekinesis	1125	0	scroll
Arcane scroll of teleport	1125	0	scroll
Arcane scroll of transmute mud to rock	1125	0	scroll
Arcane scroll of transmute rock to mud	1125	0	scroll
Arcane scroll of wall of force	1125	0	scroll
Arcane scroll of wall of stone	1125	0	scroll
Arcane scroll of waves of fatigue	1125	0	scroll
Arcane scroll of acid fog	1650	0	scroll
Arcane scroll of analyze dweomer	1650	0	scroll
Arcane scroll of animate objects	2400	0	scroll
Arcane scroll of antimagic field	1650	0	scroll
Arcane scroll of bear’s endurance, mass	1650	0	scroll
Arcane scroll of forceful hand	1650	0	scroll
Arcane scroll of bull’s strength, mass	1650	0	scroll
Arcane scroll of cat’s grace, mass	1650	0	scroll
Arcane scroll of chain lightning	1650	0	scroll
Arcane scroll of circle of death	2150	0	scroll
Arcane scroll of contingency	1650	0	scroll
Arcane scroll of control water	1650	0	scroll
Arcane scroll of create undead	2350	0	scroll
Arcane scroll of cure moderate wounds, mass	2400	0	scroll
Arcane scroll of disintegrate	1650	0	scroll
Arcane scroll of dispel magic, greater	1650	0	scroll
Arcane scroll of eagle’s splendor, mass	1650	0	scroll
Arcane scroll of eyebite	1650	0	scroll
Arcane scroll of find the path	2400	0	scroll
Arcane scroll of flesh to stone	1650	0	scroll
Arcane scroll of fox’s cunning, mass	1650	0	scroll
Arcane scroll of geas/quest	1650	0	scroll
Arcane scroll of globe of invulnerability	1650	0	scroll
Arcane scroll of guards and wards	1650	0	scroll
Arcane scroll of heroes’ feast	2400	0	scroll
Arcane scroll of heroism, greater	1650	0	scroll
Arcane scroll of legend lore	1900	0	scroll
Arcane scroll of mislead	1650	0	scroll
Arcane scroll of mage’s lucubration	1650	0	scroll
Arcane scroll of move earth	1650	0	scroll
Arcane scroll of freezing sphere	1650	0	scroll
Arcane scroll of owl’s wisdom, mass	1650	0	scroll
Arcane scroll of permanent image	1650	0	scroll
Arcane scroll of planar binding	1650	0	scroll
Arcane scroll of programmed image	1675	0	scroll
Arcane scroll of repulsion	1650	0	scroll
Arcane scroll of shadow walk	1650	0	scroll
Arcane scroll of stone to flesh	1650	0	scroll
Arcane scroll of suggestion, mass	1650	0	scroll
Arcane scroll of summon monster VI	1650	0	scroll
Arcane scroll of symbol of fear	2650	0	scroll
Arcane scroll of symbol of persuasion	6650	0	scroll
Arcane scroll of sympathetic vibration	2400	0	scroll
Arcane scroll of transformation	1950	0	scroll
Arcane scroll of true seeing	1900	0	scroll
Arcane scroll of undeath to death	2150	0	scroll
Arcane scroll of veil	1650	0	scroll
Arcane scroll of wall of iron	1700	0	scroll
Arcane scroll of arcane sight, greater	2275	0	scroll
Arcane scroll of banishment	2275	0	scroll
Arcane scroll of grasping hand	2275	0	scroll
Arcane scroll of control undead	2275	0	scroll
Arcane scroll of control weather	2275	0	scroll
Arcane scroll of delayed blast fireball	2275	0	scroll
Arcane scroll of instant summons	3275	0	scroll
Arcane scroll of ethereal jaunt	2275	0	scroll
Arcane scroll of finger of death	2275	0	scroll
Arcane scroll of forcecage	3775	0	scroll
Arcane scroll of hold person, mass	2275	0	scroll
Arcane scroll of insanity	2275	0	scroll
