Name	GPValue	Weight	Type	Details
Troll Hide Armor	59165	25	armor	medium
Warden of the Woods	29350	25	armor	medium
Warlords Breastplate	416200	15	armor	light
Wooden Armor	20	25	armor	light
Absorbing Shield	50170	15	shield	NULL
Avalanche Shield	19170	10	shield	NULL
Battlement Shield	16180	45	shield	NULL
Belligerent Shield	36170	15	shield	NULL
Buckler	15	5	shield	NULL
Bulwark of the Great Dragon (Black)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Blue)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Brass)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Bronze)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Copper)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Gold)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Green)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Red)	1612970	15	shield	NULL
Bulwark of the Great Dragon (Silver)	1612970	15	shield	NULL
Bulwark of the Great Dragon (White)	1612970	15	shield	NULL
Burglars Buckler	4655	5	shield	NULL
Caster’s Shield	3153	5	shield	NULL
Celestial Shield	13170	7	shield	NULL
Collapsible Tower	8170	15	shield	NULL
Darkwood Buckler	205	2.5	shield	NULL
Darkwood Shield	257	5	shield	NULL
Dragonslayers Shield	7170	15	shield	NULL
Elysian Shield	52620	45	shield	NULL
Force Tower	46030	22	shield	NULL
Fortress Shield	19180	45	shield	NULL
Greater Caster Shield	10153	5	shield	NULL
Heavy Steel Shield	20	15	shield	NULL
Heavy Wooden Shield	7	10	shield	NULL
Klar	12	6	shield	NULL
Light Steel Quickdraw Shield	59	7	shield	NULL
Light Steel Shield	9	6	shield	NULL
Light Wooden Quickdraw Shield	53	6	shield	NULL
Light Wooden Shield	3	5	shield	NULL
Lion’s Shield	9170	15	shield	NULL
Living Steel Heavy Shield	120	15	shield	NULL
Madu (leather)	40	5	shield	NULL
Madu (steel)	50	6	shield	NULL
Maelstrom Shield	14170	10	shield	NULL
Mithral Heavy Shield	1020	5	shield	NULL
Quick Block Buckler	36155	15	shield	NULL
Spell Ward Tower Shield	25180	15	shield	NULL
Spined Shield	5580	15	shield	NULL
Tempest Shield	15170	10	shield	NULL
Tower Shield	30	45	shield	NULL
Volcanic Shield	14170	10	shield	NULL
Winged Shield	17257	10	shield	NULL
Wyrmslayers Shield	20170	15	shield	NULL
Zombie Skin Shield	2159	15	shield	NULL
